X,Y,OBJECTID,GIS_ID,Name,Location,PayAndDisplay,ParkingDistrict,AccessType,ParkingFacilityType,CountRegSpaces,CountDisabledSpaces,CountTotalSpaces,LastEditDate
479662.4958,4759380.8149,555,184,,North side of Dufferin Ave / east of Richmond St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479645.4545,4759363.4834,556,185,,South side of Dufferin Ave / east of Richmond St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479794.4039,4759419.0425,557,186,,South side of Dufferin Ave / east of Clarence St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
479956.8049,4759476.6887,558,187,,South side of Dufferin Ave / east of Wellington St,N,Core,Public,Parallel Parking,,,,2018/12/05 18:50:43+00
481356.6728,4759772.42,559,162,Municipal Lot #1,Dundas St/Elizabeth St/English St,N,East London,Public,Surface Lot,107,,,2018/12/05 18:50:43+00
481191.3014,4759734.5368,560,163,Municipal Lot #2,Dundas St/Elizabeth St/English St,N,East London,Public,Surface Lot,157,,,2018/12/05 18:50:43+00
479430.4048,4760330.579,561,164,Municipal Lot #3E,Oxford Street West of Richmond St,N,Richmond Row,Public,Surface Lot,12,,,2018/12/05 18:50:43+00
479332.4863,4760295.6583,562,165,,Oxford Street West of Richmond St,N,Richmond Row,Public,Surface Lot,,,,2018/12/05 18:50:43+00
479338.0969,4760235.5941,563,166,Municipal Lot #3W,Piccadilly St East of Richmond St,N,Richmond Row,Public,Surface Lot,59,,,2018/12/05 18:50:43+00
481262.7261,4759564.4634,564,167,Municipal Lot #4,Dundas St/Lyle St/King St/Adelaide St,N,East London,Public,Surface Lot,112,,,2018/12/05 18:50:43+00
479695.1455,4759162.3193,565,168,Municipal Lot #5,Queens East of Richmond (Beside London Club),N,Core,Public,Surface Lot,74,,,2018/12/05 18:50:43+00
479498.874,4759527.145,566,169,Municipal Lot #6,Kent Street West of Richmond,N,Core,Public,Surface Lot,36,,,2018/12/05 18:50:43+00
481772.3041,4759901.1867,567,170,Municipal Lot #7,Provincial Offences Court,N,East London,Public,Surface Lot,56,,,2018/12/05 18:50:43+00
479381.5909,4758819.7786,568,171,Municipal Lot #8,Budweiser Gardens (Ridout/King/Talbot),N,Core,Public,Surface Lot,400,,,2018/12/05 18:50:43+00
478683.9978,4758856.8408,569,172,Municipal Lot #9,Kiwanis Centre,N,Core,Public,Surface Lot,,,,2018/12/05 18:50:43+00
479162.8071,4758744.0598,570,173,Municipal Lot #11,King St East of Thames,N,Core,Public,Surface Lot,11,,,2018/12/05 18:50:43+00
479372.4956,4758412.9,571,174,Municipal Lot #12,Ridout St/Horton St,N,Core,Public,Surface Lot,431,,,2018/12/05 18:50:43+00
479855.2584,4758794.9599,572,175,Municipal Lot #14,VIA Station,N,Core,Public,Surface Lot,,,,2018/12/05 18:50:43+00
480222.2176,4759010.8035,573,176,Municipal Lot #15,Convention Centre,N,Core,Public,Surface Lot,70,,,2018/12/05 18:50:43+00
479292.8445,4760251.5748,574,177,Municipal Lot #16,,N,Richmond Row,Public,Surface Lot,29,,,2018/12/05 18:50:43+00
479142.4015,4758679.4813,575,178,Municipal Lot #17,Peace Gardens,N,Core,Public,Surface Lot,22,,,2018/12/05 18:50:43+00
479223.6582,4758936.7984,576,179,Municipal Lot #19,,N,Core,Public,Surface Lot,29,,,2018/12/05 18:50:43+00
479468.5381,4759445.7741,577,180,Municipal Lot #20,,N,Richmond Row,Public,Surface Lot,8,,,2018/12/05 18:50:43+00
479316.3253,4759491.2144,578,181,Municipal Lot #21,,N,Core,Public,Surface Lot,60,,,2018/12/05 18:50:43+00
479367.7318,4760103.4743,579,182,Municipal Lot #22,,N,Richmond Row,Public,Surface Lot,61,,,2018/12/05 18:50:43+00
480654.8562,4758965.7125,580,188,,North side of Bathurst Ave / east of Colborne St,N,Core,Public,Angle Parking,,,,2018/12/05 18:50:43+00
